Lp;Kod;Nazwa;j.m.;Ilość;Ostatnia zakupu [netto];Ostatnia zakupu [netto] 1;Domyślna towaru [brutto];Domyślna towaru [brutto] 1;Detal [brutto] [PLN];Detal [brutto] [PLN] 1;Wartość magazynowa;Wartość magazynowa 1;Mag.
1;00001;SŁOŃ DO ROZKRĘCANIA W WORKU 700431;szt;5;3.16; PLN;5.3; PLN;5.3;PLN;15.8;PLN;9
2;00002;Pierścionki135677;szt;22;5.23; PLN;9.2; PLN;9.2;PLN;115.06;PLN;1
3;00003;Pierścionki 133758;szt;6;1.48; PLN;2.64; PLN;2.64;PLN;8.88;PLN;0
4;00005;TARCZA Z RZUTKAMI 7839828,398286;szt;0;2.45; PLN;4.11; PLN;4.11;PLN;0;PLN;9
5;00007;LADOWARKA 29CM 487847;szt;20;11.95; PLN;19.88; PLN;19.88;PLN;239;PLN;9
6;00009;PISTOLET METALOWY NA SPłONĘ 7888B/516093;szt;0;14.96; PLN;24.83; PLN;24.83;PLN;0;PLN;9
7;00010;PISTOLET METALOWY NA SPLONKĘ TC7250B/516130;szt;0;13.64; PLN;22.63; PLN;22.63;PLN;0;PLN;9
8;00011;PISTOLE NA SPłONKĘ CHT2927804/081027;szt;0;1.54; PLN;2.46; PLN;2.46;PLN;0;PLN;9
9;00012;PISTOLET NA SPłONKĘ CHT40985/047337;szt;0;1.09; PLN;1.81; PLN;1.81;PLN;0;PLN;9
10;00013;PISTOLET NA SPłONKĘ CHT409A16/047344;szt;13;1.54; PLN;2.6; PLN;2.6;PLN;20.02;PLN;9
11;00014;PISTOLET NA SPłONKĘ CHT409B29/ 047351;szt;0;1.32; PLN;2.2; PLN;2.2;PLN;0;PLN;9
12;00015;PISTOLET NA SPłONKĘ CHT409C13/002275;szt;0;2.51; PLN;4.21; PLN;4.21;PLN;0;PLN;9
13;00017;PISTOLET METALOWY NA SPłONKĘ S703B/510657;szt;5;11.91; PLN;19.83; PLN;19.83;PLN;59.55;PLN;9
14;00019;PISTOLET NA SPłONKĘ CHT409A52/047368;szt;0;0.94; PLN;1.5; PLN;1.5;PLN;0;PLN;9
15;00023;PISTOLET NA SPłONKĘ CHT2927805;szt;0;2.21; PLN;3.39; PLN;3.4;PLN;0;PLN;9
16;00024;KLOCKI ŚREDNIE K2S/000055;szt;1;9.83; PLN;15.74; PLN;15.74;PLN;9.83;PLN;9
17;00026;PISTOLET METALOWY NA SPłONKĘ S902BN/514174;szt;25;10.64; PLN;17.72; PLN;17.72;PLN;266;PLN;9
18;00028;KLOCKI 3 MAŁE K3M/000161;szt;0;9.41; PLN;15.06; PLN;15.06;PLN;0;PLN;9
19;00029;Pompka duża złota 301410;szt;5;3.49; PLN;6.19; PLN;6.19;PLN;17.45;PLN;9
20;00033;Przyjaciele z podwórka - Piotruś 300495;szt;20;1.65; PLN;2.69; PLN;2.69;PLN;33;PLN;3
21;00034;Zwierzątko do ściskania /display 12szt/ 405858;szt;33;1.71; PLN;2.99; PLN;2.99;PLN;56.43;PLN;5
22;00036;Samochody metalowe /60szt w displayu/ 202511;szt;53;2.24; PLN;3.99; PLN;3.99;PLN;118.72;PLN;7
23;00038;DZWONKI CHROM.27 TON 000049;szt;0;21.66; PLN;31.96; PLN;31.96;PLN;0;PLN;0
24;00039;KRĘGLE MAŁE /TOYS/ 306084;szt;0;7.02; PLN;11.66; PLN;11.66;PLN;0;PLN;0
25;00040;Młotek na baterie 115433;szt;6;4.4; PLN;7.69; PLN;7.69;PLN;26.4;PLN;8
26;00041;Pamięć znaki drogowe 001747;szt;2;10.44; PLN;16.69; PLN;16.69;PLN;20.88;PLN;5
27;00048;AUTK0 12CM. W WORKU 8680833;szt;0;0.92; PLN;1.6; PLN;1.6;PLN;0;PLN;9
28;00049;Cymbałki 003165;szt;9;4.27; PLN;7.49; PLN;7.49;PLN;38.43;PLN;0
29;00052;Miękka piłka i kostka 004636;szt;0;3.17; PLN;5.66; PLN;5.66;PLN;0;PLN;0
30;00053;Zwierzęta domowe 8szt w worku 397041;szt;0;7.91; PLN;14.11; PLN;14.11;PLN;0;PLN;3
31;00055;Puzzle 30el. Magiczny świat 182361;szt;5;5.37; PLN;9.1; PLN;9.1;PLN;26.85;PLN;5
32;00059;ŻELAZKO B.O. Pryska wodą 960308;szt;0;8.51; PLN;14.86; PLN;14.86;PLN;0;PLN;5
33;00060;Klocki sluban dziewczynka 29 el. 954873;szt;4;2.15; PLN;3.78; PLN;3.78;PLN;8.6;PLN;3
34;00062;KLOCKI sluban wojsko (121 el.) G045278;szt;2;5.94; PLN;10.16; PLN;10.16;PLN;11.88;PLN;3
35;00063;KULKI WODNE  X20 805727;szt;1295;3.4; PLN;5.95; PLN;5.95;PLN;702.9;PLN;7
36;00067;Auto Służby 148417;szt;18;3.72; PLN;5.51; PLN;5.51;PLN;66.96;PLN;5
37;00069;MASZYNA ROLNICZA  MANITU M 572570;szt;0;11.83; PLN;19.73; PLN;19.73;PLN;0;PLN;9
38;00076;Puzzle 30el. Gotowi by pomagać 182446;szt;9;5.37; PLN;9.1; PLN;9.1;PLN;48.33;PLN;0
39;00078;Klocki sluban dziewczynka 99 el. 996576;szt;8;6.47; PLN;11.38; PLN;11.38;PLN;51.76;PLN;3
40;00080;Piłeczki Kauczuki 3,2cm312317;szt;6;7.2; PLN;12.57; PLN;12.57;PLN;43.2;PLN;3
41;00082;Kombajn farm klosz  33143,904724;szt;40;7.5; PLN;12.39; PLN;12.39;PLN;298.04;PLN;0
42;00083;TOR FLUORESC. Z ELAST.KLOCKÓW, AUTO, 96 EL. 399687;szt;0;10.83; PLN;18.99; PLN;18.99;PLN;0;PLN;3
43;00084;Karuzela dla dzieci 8301243;szt;8;14.45; PLN;25.49; PLN;25.49;PLN;115.6;PLN;8
44;00085;Lalka Dorotka śpiewająca i mówiąca po polsku 116799;szt;3;15.58; PLN;27.21; PLN;27.21;PLN;46.74;PLN;7
45;00086;ASPIRATOR DO NOSKA PB1302/ 085084;szt;40;1.53; PLN;2.23; PLN;2.23;PLN;61.2;PLN;2
46;00087;ZESTAW NOŻYCZKI+CĄŻKI PB1506/085063;szt;20;3.43; PLN;4.91; PLN;4.91;PLN;68.6;PLN;2
47;00088;Laleczka Sally - Zestaw z pieskiem 313178;szt;7;9.91; PLN;17.31; PLN;17.31;PLN;69.37;PLN;2
48;00089;BEZPIECZNE CĄŻKI PB1718/ 085022;szt;21;1.97; PLN;2.85; PLN;2.85;PLN;41.37;PLN;2
49;00090;ŁYŻECZKI SYLIKONOWA KOŃCÓWKA 2SZT PB3207/ 085121;szt;16;2.61; PLN;3.75; PLN;3.75;PLN;41.76;PLN;2
