Lp;Kod;Nazwa;Ilość;Wartość magazynowa;Wartość magazynowa 1;Ostatnia zakupu [netto];Ostatnia zakupu [netto] 1;Detal [netto] [PLN];Detal [netto] [PLN] 1;Detal [brutto] [PLN];Detal [brutto] [PLN] 1;% narzutu;Mag.;Chodliwość:Towar
1;05285;Żyrafa na baterie 127009;1;8.78;PLN;8.78; PLN;12.43;PLN;15.29;PLN;41,57%;0;A
2;03681;Żyrafa na bańki mydlane 137336;113;519.8;PLN;4.6; PLN;6.53;PLN;8.03;PLN;41,96%;1F;D
3;03058;ŻYŁKA DO ZAPLATANIA /63930/                     963930;197;185.18;PLN;0.94; PLN;1.34;PLN;1.65;PLN;42,55%;5C;A
4;75459;Żelowy Pistolet XH085;0;0;PLN;10.35; PLN;14.47;PLN;17.8;PLN;39,81%;1A;A
5;74553;Żelowy pistolet plansza AK47-2;12;183.96;PLN;15.33; PLN;19.92;PLN;24.5;PLN;29,94%;1A;A
6;75458;Żelowy Pistolet M16-2 045366;27;429.03;PLN;15.89; PLN;21.13;PLN;25.99;PLN;32,98%;1A;A
7;74246;Żelowy Pistolet M03+ Blister;0;0;PLN;13.59; PLN;16.99;PLN;20.9;PLN;25,02%;9K;A
8;74245;Żelowy Pistolet M02 Blister;0;0;PLN;6.21; PLN;8.12;PLN;9.99;PLN;30,76%;1B;A
9;34244;Żelowy Pistolet M01 + ZESTAW;1;20;PLN;20; PLN;24.2;PLN;29.76;PLN;21,00%;1B;A
10;75460;Żelowo Uzupełnienie Butelka M1 ;0;0;PLN;1.21; PLN;1.86;PLN;2.29;PLN;53,72%;1F;A
11;75461;Żelowe Uzupełnienie YT-001 /24szt displ/;0;0;PLN;1.62; PLN;2.03;PLN;2.5;PLN;25,31%;0;A
12;02388;Żelazko na baterie 567311;0;0;PLN;6.59; PLN;9.34;PLN;11.49;PLN;41,73%;0;D
13;00059;ŻELAZKO B.O. Pryska wodą/960308/;0;0;PLN;8.51; PLN;12.08;PLN;14.86;PLN;41,95%;0;A
