ID;Nazwa;Ilosc Real;Ilosc Fakt;Roznica Fakt Norm
5285;Żyrafa na baterie 127009;1;3;2
3681;Żyrafa na bańki mydlane 137336;113;121;8
3058;ŻYŁKA DO ZAPLATANIA /63930/                     963930;197;197;0
75459;Żelowy Pistolet XH085;0;32;32
74553;Żelowy pistolet plansza AK47-2;12;19;7
75458;Żelowy Pistolet M16-2 045366;27;11;-16
74246;Żelowy Pistolet M03+ Blister;0;39;39
74245;Żelowy Pistolet M02 Blister;0;35;35
75460;Żelowo Uzupełnienie Butelka M1 ;0;79;79
75461;Żelowe Uzupełnienie YT-001 /24szt displ/;0;128;128
2388;Żelazko na baterie 567311;0;2;2
59;ŻELAZKO B.O. Pryska wodą/960308/;0;0;0
4400;Żelazko 141999;17;19;2
5155;Żel pierdzący 24 szt. display 870999, 984016;3;19;16
1601;Żaglówka na baterie 993582;11;11;0
15034;Żabka skacząca /10szt w op/ ;0;125;125
4322;Żaba/12szt displ/ 24022;49;94;45
5187;Żaba na baterie 63992;0;0;0
73877;Żaba na baterie 2016-H2;0;36;36
1094;Zwierzęta świąteczne /147790/;2;2;0
1941;Zwierzęta konie 137237;3;1;-2
835;Zwierzęta gumowe /6 szt. w op./138326;0;7;7
3986;Zwierzęta gumowe /6 szt. w op./138296;0;1;1
5133;Zwierzęta farm 082797;0;0;0
4126;Zwierzęta farm 145010;0;0;0
2646;Zwierzęta farm 138111;0;7;7
470;Zwierzęta dzikie 8 szt. 303988;0;9;9
486;ZWIERZĘTA DZIKIE 4SZT. /ZR666C-24/  WOREK /214125/305166/;7;6;-1
708;Zwierzęta duże i małe - słonik balonik 301225;6;6;0
53;Zwierzęta domowe 8szt w worku /397041/;0;0;0
2865;Zwierzęta domowe 137244 ;12;12;0
5192;Zwierzęta Dinozaury 305135;0;4;4
4084;Zwierzęta Bimbom 136438;31;31;0
4182;Zwierzęta 748941;0;4;4
4436;ZWIERZąTKO NAKRęCANE                            008439;0;0;0
361;Zwierzątko na rowerku /display 12szt/ 312614;16;23;7
510;Zwierzątko na baterie /Q2816/129522/;0;1;1
701;Zwierzątko lampka 412894;15;21;6
1390;Zwierzątko do ściskania /display 12szt/ 407364;29;47;18
1139;Zwierzątko do ściskania /display 12szt/ 407357;16;33;17
201;Zwierzątko do ściskania /display 12szt/ 405865;0;29;29
34;Zwierzątko do ściskania /display 12szt/ 405858;2;33;31
345;Zwierzątko do ściskania /24szt display/ 407494;12;24;12
3319;Zwierzątko do ściskania /12szt w display/ 405834;1;2;1
